...1,text,gpt_out,out
723,"It's a lot of shapes On the bottom is a parallelogram, No, it doesn't look like a person, Yeah, and there's a triangle on the right also falling off, Towards the bottom","On the bottom is a parallelogram,  a triangle on the right also falling off, Towards the bottom","[-It's a lot of shapes-]On the bottom is a parallelogram, [-No, it doesn't look like a person, Yeah, and there's-] {+theres+} a triangle on the right also falling off, Towards the bottom"
724,"It looks like someone kneeling, They're facing right","someone kneeling,  facing right","[-It looks like-]someone kneeling, [-They're-] {+""Theyre+} facing [-right-] {+right""+}"
725,"It looks like someone falling backwards to the left, with their arms raised","someone falling backwards to the left, with their arms raised","[-It looks like-]someone falling backwards to the left, with their arms raised"
726,"Someone kneeling facing the right with their arms outstretched, Neither of the kneeling ones you selected before, A lump in the middle, with a triangle pointing out to the left at the bottom, Two triangles in the middle outstretched to both sides","Someone kneeling facing the right with their arms outstretched, A lump in the middle, with a triangle pointing out to the left at the bottom, Two triangles in the middle outstretched to both sides","Someone kneeling facing the right with their arms outstretched, [-Neither of the kneeling ones you selected before,-] A lump in the middle, with a triangle pointing out to the left at the bottom, Two triangles in the middle outstretched to both sides"
727,"It looks like someone stood up with their feet both pointing left, There's a square and a trapezium at the top","someone stood up with their feet both pointing left,  a square and a trapezium at the top","[-It looks like-]someone stood up with their feet both pointing left, [-There's-] {+Theres+} a square and a trapezium at the top"
728,"It's a kneeling one again, This one has a parallelogram at the bottom, They're facing right","a kneeling one, a parallelogram at the bottom,  facing right","[-It's-]a kneeling [-one again, This one has-] {+one,+} a parallelogram at the bottom, [-They're-] {+""Theyre+} facing [-right-] {+right""+}"
729,This one has a tilted square at the top and the main body is a straight edge on the left hand side,"tilted square at the top, main body is a straight edge on the left hand side","[-This one has a-]tilted square at the [-top and the-] {+top,+} main body is a straight edge on the left hand side"
730,"This one looks like someone standing on one leg with the other leg out behind them, There's two triangles pointing left, Yeah, facing left","someone standing on one leg with the other leg out behind them, two triangles pointing left, facing left","[-This one looks like-]someone standing on one leg with the other leg out behind them, [-There's-] two triangles pointing left, [-Yeah,-] facing left"
731,"Someone facing left, their back is a straight line, sort of looks like they're holding a book open, with really long sleeves","Someone facing left, their back is a straight line, holding a book open, with really long sleeves","Someone facing left, their back is a straight line, [-sort of looks like they're-] holding a book open, with really long sleeves"
732,"Someone facing left with outstretched hand, hand","Someone facing left with outstretched hand, hand","Someone facing left with outstretched hand, hand"
733,"Windmill on top of a mountain or hill, straight side on the left","Windmill on top of a mountain or hill, straight side on the left","Windmill on top of a mountain or hill, straight side on the left"
734,"looks like someone kneeling facing the right, straight bit triangle facing right, with a straight top","someone kneeling facing the right, straight bit triangle facing right, with a straight top","[-looks like-]someone kneeling facing the right, straight bit triangle facing right, with a straight top"
735,"Looks like someone mid-kneeling towards the right, with triangle facing right","someone mid-kneeling towards the right, triangle facing right","[-Looks like-]someone mid-kneeling towards the right, [-with-] triangle facing right"
736,"another kneeling one, facing right, 2 triangles adjacent like arms stretched out, square head, diamond rather, triangle attached to the right, and joined triangle on the left","another kneeling one, facing right, 2 triangles adjacent like arms stretched out, square head, diamond rather, triangle attached to the right, joined triangle on the left","another kneeling one, facing right, 2 triangles adjacent like arms stretched out, square head, diamond rather, triangle attached to the right, [-and-] joined triangle on the left"
737,"looks like a person falling back with arms outstretched, yes to the left",a person falling back with arms outstretched,"[-looks like-]a person falling back with arms [-outstretched, yes to the left-] {+outstretched+}"
738,"looks like someone leaning their head back with a leg forward and another behind (on the knee), and an arm stretched up towards the right","someone leaning their head back with a leg forward and another behind (on the knee), and an arm stretched up towards the right","[-looks like-]someone leaning their head back with a leg forward and another behind (on the knee), and an arm stretched up towards the right"
739,"looks like a person standing with arm outstretched to the right and straight back on the left, 0 61, no this has a straight left side, diamond head, this is facing right, straight side on the left","a person standing with arm outstretched to the right and straight back on the left, diamond head, facing right, straight side on the left","[-looks like-]a person standing with arm outstretched to the right and straight back on the left, [-0 61, no this has a straight left side,-] diamond head, [-this is-] facing right, straight side on the left"
740,"the one that looks like a wrapped up baby, with a diamond head","a wrapped up baby, with a diamond head","[-the one that looks like-]a wrapped up baby, with a diamond head"
741,"the one that looks like a person standing with diamond head leaning back, arms stretched to the left and one foot up facing left, looks like a drunken zombie lol","a person standing with diamond head leaning back, arms stretched to the left and one foot up facing left, drunken zombie","[-the one that looks like-]a person standing with diamond head leaning back, arms stretched to the left and one foot up facing [-left, looks like a drunken zombie lol-] {+left+}"
742,"looks like a yoga pose, leg extended back to the right","a yoga pose, leg extended back to the right","[-looks like-]a yoga pose, leg extended back to the right"
743,looks like someone sitting facing left with knees up,someone sitting facing left with knees up,[-looks like-]someone sitting facing left with knees up
744,"The head is falling off to the left, It's the only one with that, Parallelogram at the bottom, The head (square) is falling to the left","The head is falling off to the left, Its the only one with that, Parallelogram at the bottom, The head (square) is falling to the left","The head is falling off to the left, [-It's-] {+Its+} the only one with that, Parallelogram at the bottom, The head (square) is falling to the left"
745,"It's NOT the one with the baby but it's similar, with the straight left edge, like a baby under a duvet","not the one with the baby, with the straight left edge, like a baby under a duvet","[-It's NOT the one with the baby but it's similar,-]with the straight left edge, like a baby under a duvet"
746,"Person falling back to the left, Arms out at either side","Person falling back to the left, Arms out at either side","Person falling back to the left, Arms out at either side"
747,"Facing the left and both feet are visible, One foot on the floor and one raised up to the left","Facing the left, both feet are visible, One foot on the floor, one raised up to the left","Facing the [-left and-] {+left,+} both feet are visible, One foot on the [-floor and-] {+floor,+} one raised up to the left"
748,Windmill,Windmill,Windmill
749,"Yoga pose, facing left, One leg behind","Yoga pose, facing left, One leg behind","Yoga pose, facing left, One leg behind"
750,The priest facing left,The priest facing left,The priest facing left
751,"It's the one kneeling, Facing right, There's a triangle attached to the bottom of the head (diamond), there's a triangle at the bottom left","the one kneeling, Facing right, There's a triangle attached to the bottom of the head (diamond), there's a triangle at the bottom left","[-It's-]the one kneeling, Facing right, [-There's-] {+There\s+} a triangle attached to the bottom of the head (diamond), [-there's-] {+there\s+} a triangle at the bottom left"
752,A diamond on top of a diamond,A diamond on top of a diamond,A diamond on top of a diamond
753,It's the baby,the baby,[-It's-]{+It\s+} the baby
754,"It's the person sat on their bum facing left, Knees up","the person sat on their bum facing left, Knees up","[-It's-]the person sat on their bum facing left, Knees up"
755,"Facing right, Parallelogram at the bottom, Kind of looks mid-kneel","Facing right, Parallelogram at the bottom,  mid-kneel","Facing right, Parallelogram at the bottom, Kind of looks mid-kneel"
756,person falling to the left with the arms spread open,person falling to the left with the arms spread open,person falling to the left with the arms spread open
757,"baby under a duvet facing right, straight left edge","baby under a duvet facing right, straight left edge","baby under a duvet facing right, straight left edge"
758,"the yoga pose facing RIGHT, heading tipping back towards the left, with the extra long bit at the bottom left","the yoga pose facing RIGHT, heading tipping back towards the left, with the extra long bit at the bottom left","the yoga pose facing RIGHT, heading tipping back towards the left, with the extra long bit at the bottom left"
759,"okay, kneeling facing RIGHT, mid-kneel look with parallelogram at bottom","kneeling facing RIGHT, mid-kneel look, parallelogram at bottom","[-okay,-]kneeling facing RIGHT, mid-kneel [-look with-] {+look,+} parallelogram at bottom"
760,windmill on top of a hill on the left,windmill on top of a hill on the left,windmill on top of a hill on the left
761,"drunken zombie pose facing left, with head tipping back towards the right, one leg in the air","drunken zombie pose facing left, head tipping back towards the right, one leg in the air","drunken zombie pose facing left, [-with-] head tipping back towards the right, one leg in the air"
762,"kneeling facing the right, arms spread open, looks a little like a windmill, with the small triangle at the bottom left","kneeling facing the right, arms spread open,  a windmill, with the small triangle at the bottom left","kneeling facing the right, arms spread open, looks a little like a windmill, with the small triangle at the bottom left"
763,"the baby, the cocooned one","the baby, the cocooned one","the baby, the cocooned one"
764,"sitting down facing the left, head bowed and knees up","sitting down facing the left, head bowed, knees up","sitting down facing the left, head [-bowed and-] {+bowed,+} knees up"
765,"kneeling facing the right, diamond head on top of diamond body, with the straight flat bit at the left","kneeling facing the right, diamond head on top of diamond body, with the straight flat bit at the left","kneeling facing the right, diamond head on top of diamond body, with the straight flat bit at the left"
766,"yoga pose facing LEFT standing up with leg stretched out behind them in the air to the left, left in the right",yoga pose facing LEFT standing up with leg stretched out behind them in the air to the left,"yoga pose facing LEFT standing up with leg stretched out behind them in the air to the [-left,-] left [-in the right-]"
767,the priest facing left,the priest facing left,the priest facing left
768,Kneeling one with the parallelogram on the bottom,Kneeling one with the parallelogram on the bottom,Kneeling one with the parallelogram on the bottom
769,"Windmill, On the left",Windmill,"[-Windmill, On the left-]{+Windmill+}"
770,Priest facing left,Priest facing left,Priest facing left
771,"Baby, but not cocooned","Baby, but not cocooned","Baby, but not cocooned"
772,Kneeling with the diamond head on top of the diamond body,Kneeling with the diamond head on top of the diamond body,Kneeling with the diamond head on top of the diamond body
773,"Drunk zombie, with leg slightly in the air pointing left","Drunk zombie, leg slightly in the air pointing left","Drunk zombie, [-with-] leg slightly in the air pointing left"
774,The weird horse yoga pose,The weird horse yoga pose,The weird horse yoga pose
775,Cocooned baby,Cocooned baby,Cocooned baby
776,"leg lifted up to the right, Looks like a yoga pose","leg lifted up to the right,  a yoga pose","leg lifted up to the right, Looks like a yoga pose"
777,"Sat on the floor, legs bent looking left","Sat on the floor, legs bent looking left","Sat on the floor, legs bent looking left"
778,Falling backwards to the left with arms outstretched,Falling backwards to the left with arms outstretched,Falling backwards to the left with arms outstretched
779,Mini windmill or kneeling with arms out,"Mini windmill, kneeling with arms out","Mini [-windmill or-] {+windmill,+} kneeling with arms out"
780,the last one we did falling back,falling back,{+There is no description of an image in+} the [-last one we did falling back-] {+given text.+}
781,"the yoga pose with leg to the right, at the back","the yoga pose with leg to the right, at the back","the yoga pose with leg to the right, at the back"
782,cocooned baby,cocooned baby,cocooned baby
783,the mid kneel to the right,the mid kneel to the right,the mid kneel to the right
784,drunken zombie,drunken zombie,drunken zombie
785,"the kneeling to the right with arms outstretched, diamond head","the kneeling to the right with arms outstretched, diamond head","the kneeling to the right with arms outstretched, diamond head"
786,sitting to left knees up,sitting to left knees up,sitting to left knees up
787,windmill on hill,windmill on hill,windmill on hill
788,horse,horse,horse
789,priest,priest,priest
790,"kneeling to the right, diamond head on diamond body","kneeling to the right, diamond head on diamond body","kneeling to the right, diamond head on diamond body"
791,baby in blanket with left straight side,baby in blanket with left straight side,baby in blanket with left straight side
792,"I think they all look like people So the shape is a person standing up, facing to the right, with arms out at shoulder height, so square angled on the top, flat down the left side, right side has a triangle pointing out at the top, then angled down the right side, one arm straight out on the right side, one square as head, look for a 1 square at the top balancing on a corner, then the shape under the square has a flat top and a flat left side, maybe the person analogy wasn't great","a person standing up, facing to the right, with arms out at shoulder height, square angled on the top, flat down the left side, right side has a triangle pointing out at the top, angled down the right side, one arm straight out on the right side, one square as head,  a 1 square at the top balancing on a corner, the shape under the square has a flat top and a flat left side","[-I think they all look like people So the shape is-]a person standing up, facing to the right, with arms out at shoulder height, [-so-] square angled on the top, flat down the left side, right side has a triangle pointing out at the top, [-then-] angled down the right side, one arm straight out on the right side, one square as head, look for a 1 square at the top balancing on a corner, [-then-] the shape under the square has a flat top and a flat left [-side, maybe the person analogy wasn't great-] {+side+}"
793,"square head balancing on a corner, body is a rectangle on a lean, rectangle, then two arms reaching up above the head","square head balancing on a corner, body is a rectangle on a lean, rectangle, two arms reaching up above the head","square head balancing on a corner, body is a rectangle on a lean, rectangle, [-then-] two arms reaching up above the head"
794,"square at the top balancing on a corner, then under that is the same square shape but with a triangle jutting out to the right, there is another triangle pointing out to the right at the bottom and also one pointing out to the left at the bottom, this is a hard one sorry, there are two that I can see that that description could fit, the dog and it is one of them","square at the top balancing on a corner, same square shape but with a triangle jutting out to the right, another triangle pointing out to the right at the bottom, one pointing out to the left at the bottom","square at the top balancing on a corner, [-then under that is the-] same square shape but with a triangle jutting out to the right, [-there is-] another triangle pointing out to the right at the [-bottom and also-] {+bottom,+} one pointing out to the left at the [-bottom, this is a hard one sorry, there are two that I can see that that description could fit, the dog and it is one of them-] {+bottom+}"
795,"looks like a person sitting facing the left with their knees bend and feet sticking out, head tilted down slightly","a person sitting facing the left with their knees bend and feet sticking out, head tilted down slightly","[-looks like-]a person sitting facing the left with their knees bend and feet sticking out, head tilted down slightly"
796,"ok this one looks like it has 2 legs, balancing on one foot, looks like a head with a beak is looking down to the raised foot, facing the left, then a square jutting out of the right shoulder, not not the ice skating one, i think i know what you mean","it has 2 legs, balancing on one foot, a head with a beak is looking down to the raised foot, facing the left, a square jutting out of the right shoulder, not the ice skating one","[-ok this one looks like-]it has 2 legs, balancing on one foot, looks like a head with a beak is looking down to the raised foot, facing the left, [-then-] a square jutting out of the right [-shoulder, not not the ice skating one, i think i know what you mean-] {+shoulder+}"
797,"ice skating one!, square head balancin, two triangle arms pointing to the left","ice skating one!, square head balancing, two triangle arms pointing to the left","ice skating one!, square head balancin, two triangle arms pointing to the left"
798,"ok square balancing on the point of two triangles which are touching, looks like a kneeling figure, under the square is a smaller triangle on the right and a larger one on the left, yeah could look like arms out, there is a small triangle on the bottom left of the figure","square balancing on the point of two triangles which are touching,  a kneeling figure, under the square is a smaller triangle on the right and a larger one on the left, arms out, there is a small triangle on the bottom left of the figure","ok square balancing on the point of two triangles which are touching, looks like a kneeling figure, under the square is a smaller triangle on the right and a larger one on the left, [-yeah-] could look like arms out, there is a small triangle on the bottom left of the figure"
799,"square head balancing on corner on the left of the hape, shape, the bottom left is a rectangle on an angle leaning to the right, triangle lower right with the top point facing down and to the left, yes triangle upper right with the top point facing up and left, ah yes that is probably it","square head balancing on corner on the left of the shape, rectangle on an angle leaning to the right, triangle lower right with the top point facing down and to the left, triangle upper right with the top point facing up and left","square head balancing on corner on the left of the [-hape,-] shape, [-the bottom left is a-] rectangle on an angle leaning to the right, triangle lower right with the top point facing down and to the left, [-yes-] triangle upper right with the top point facing up and [-left, ah yes that is probably it-] {+left+}"
800,"looks like person facing to the right with knees bent and arms to the right like they are making an offering to someone, the arms have a flat top and then angled underneath","person facing to the right with knees bent and arms to the right like they are making an offering to someone, the arms have a flat top and then angled underneath","[-looks like-]person facing to the right with knees bent and arms to the right like they are making an offering to someone, the arms have a flat top and then angled underneath"
801,"ok square balancing on top, body is fairly straight with no arms, triangle pointing out at the bottom to the right","square balancing on top, body is fairly straight with no arms, triangle pointing out at the bottom to the right","ok square balancing on top, body is fairly straight with no arms, triangle pointing out at the bottom to the right"
802,"looks like rabbit ears on the top, two triangles balancing on a square head","rabbit ears on the top, two triangles balancing on a square head","[-looks like-]rabbit ears on the top, two triangles balancing on a square head"
803,"standing figure, square head on the top facing left, flat down the right side of the body, arms out to the left, like the offering one but standing straight","standing figure, square head on the top facing left, flat down the right side of the body, arms out to the left, like the offering one but standing straight","standing figure, square head on the top facing left, flat down the right side of the body, arms out to the left, like the offering one but standing straight"
804,"it's the same one as the last one of the first round, body's standing to the left","the same one as the last one of the first round, ""body's standing to the left""","[-it's-]the same one as the last one of the first round, [-body's-] {+""bodys+} standing to the [-left-] {+left""+}"
805,"similar to the prev one, but this one is facing to the right and has a shorter stature, not the offering one, its left side is completely ""flat"" or straight, yes to to the square, NA","facing to the right, shorter stature, left side is completely ""flat"" or straight","[-similar to the prev one, but this one is-]facing to the [-right and has a-] {+right,+} shorter stature, [-not the offering one, its-] left side is completely ""flat"" or [-straight, yes to to the square, NA-] {+straight+}"
806,the bunny ear one with the two triangles on top,the bunny ear one with the two triangles on top,the bunny ear one with the two triangles on top
807,"this one's facing to the left, legs are out, square is slightly tilted forward to their legs","facing to the left, legs are out, square is slightly tilted forward to their legs","[-this one's-]facing to the left, legs are out, square is slightly tilted forward to their legs"
808,"the square's balancing on top of 2 triangles, one triangle is bigger, the other (on the right) is smaller","the squares balancing on top of 2 triangles, one triangle is bigger, the other (on the right) is smaller","the [-square's-] {+squares+} balancing on top of 2 triangles, one triangle is bigger, the other (on the right) is smaller"
809,"this one is facing to the right, seems to be on its knees but with its ""feet"" facing up, arms out, triangles on the bottom - the left triangle seems to be more upwards, right triangle is more downwards, yes, the figure is facing completely to the right","facing to the right, on its knees but with its ""feet"" facing up, arms out, triangles on the bottom - the left triangle seems to be more upwards, right triangle is more downwards, the figure is facing completely to the right","[-this one is-]facing to the right, [-seems to be-] on its knees but with its ""feet"" facing up, arms out, triangles on the bottom - the left triangle seems to be more upwards, right triangle is more downwards, [-yes,-] the figure is facing completely to the right"
810,"the ice skating one, figure facing to the left, with one leg sticking back out","the ice skating one, figure facing to the left, with one leg sticking back out","the ice skating one, figure facing to the left, with one leg sticking back out"
811,"square seems to be tilted backward, there are two triangles on the right, these two triangles seem to be of the same size, a bit small in shape, and to the left, on the bottom, is a slanted rectangle, hmmm the rectangle on the bottom is not like the others, and it's more positioned on the left, to the right has two triangles, one is a hand and the other is a foot, facing the right","square seems to be tilted backward, two triangles on the right, two triangles seem to be of the same size, a bit small in shape, to the left, on the bottom, is a slanted rectangle, rectangle on the bottom is not like the others, ""its more positioned on the left"", to the right has two triangles, one is a hand, the other is a foot, facing the right","square seems to be tilted backward, [-there are-] two triangles on the right, [-these-] two triangles seem to be of the same size, a bit small in shape, [-and-] to the left, on the bottom, is a slanted rectangle, [-hmmm the-] rectangle on the bottom is not like the others, [-and it's-] {+""its+} more positioned on the [-left,-] {+left"",+} to the right has two triangles, one is a [-hand and-] {+hand,+} the other is a foot, facing the right"
812,"arms are separated, one on the left and one on the right, person seems to be leaning more towards the left","arms are separated, one on the left and one on the right, person seems to be leaning more towards the left","arms are separated, one on the left and one on the right, person seems to be leaning more towards the left"
813,"no arms, facing the right","no arms, facing the right","no arms, facing the right"
814,"offering position, facing the right, knees bent","offering position, facing the right, knees bent","offering position, facing the right, knees bent"
815,"looks like a walking zombie, square tilted back, figure facing the left, one leg is down, one leg is up","walking zombie, square tilted back, figure facing the left, one leg is down, one leg is up","[-looks like a-]walking zombie, square tilted back, figure facing the left, one leg is down, one leg is up"
816,"offering on knees, facing right, triangle on bottom left facing up, NA, arms out right in offering position","offering on knees, facing right, triangle on bottom left facing up, arms out right in offering position","offering on knees, facing right, triangle on bottom left facing up, [-NA,-] arms out right in offering position"
817,"figure that is laying down, square tilted out left, triangle at bottom right, trapezoid bottom left","figure that is laying down, square tilted out left, triangle at bottom right, trapezoid bottom left","figure that is laying down, square tilted out left, triangle at bottom right, trapezoid bottom left"
818,"square balancing on flat top, facing right, left side is flat, arm facing right","square balancing on flat top, facing right, left side is flat, arm facing right","square balancing on flat top, facing right, left side is flat, arm facing right"
819,"offering in knees bent position, not the one on knees, just knees slightly bent, facing right","offering in knees bent position, not the one on knees, just knees slightly bent, facing right","offering in knees bent position, not the one on knees, just knees slightly bent, facing right"
820,"facing right, square balancing on top, flat on either side, no arms, triangle for feet bottom right, looks like a blob with a square head, no triangles","facing right, square balancing on top, flat on either side, no arms, triangle for feet bottom right,  a blob with a square head, no triangles","facing right, square balancing on top, flat on either side, no arms, triangle for feet bottom right, looks like a blob with a square head, no triangles"
821,"standing, facing left with arms out and square balanced head, flat right side, almost looks like clothing is draping from the arm","standing, facing left with arms out and square balanced head, flat right side,  clothing is draping from the arm","standing, facing left with arms out and square balanced head, flat right side, almost looks like clothing is draping from the arm"
822,"dancing birdman, facing left, big triangle for a head, square balanced over right shoulder with one leg up, NA","dancing birdman, facing left, big triangle for a head, square balanced over right shoulder with one leg up","dancing birdman, facing left, big triangle for a head, square balanced over right shoulder with one leg [-up, NA-] {+up+}"
823,rabbit,rabbit,rabbit
824,"on knees, square is balancing on two triangles, there's a third triangle bottom left, the one triangle on the right is tilted, right kinda, like the triangle at the bottom left would be the feet","on knees, square is balancing on two triangles,  a third triangle bottom left, the one triangle on the right is tilted, like the triangle at the bottom left would be the feet","on knees, square is balancing on two triangles, [-there's-] {+theres+} a third triangle bottom left, the one triangle on the right is tilted, [-right kinda,-] like the triangle at the bottom left would be the feet"
825,figure skater,figure skater,figure skater
826,fetal position,fetal position,fetal position
827,"arms facing up with slanted rectangle, leaning to left","arms facing up with slanted rectangle, leaning to left","arms facing up with slanted rectangle, leaning to left"
828,"Bird man, Square on right balancing on corner, Left foot off the ground, right foot on","Bird man, Square on right balancing on corner, Left foot off the ground, right foot on","Bird man, Square on right balancing on corner, Left foot off the ground, right foot on"
829,Fetal position,Fetal position,Fetal position
830,"Facing right, no arms, but like the offering one, Flat left side","Facing right, no arms, like the offering one, Flat left side","Facing right, no arms, [-but-] like the offering one, Flat left side"
831,"Square balancing on flat surface with arms out straight to the right, just below the level of the square, Flat left side","Square balancing on flat surface with arms out straight to the right, just below the level of the square, Flat left side","Square balancing on flat surface with arms out straight to the right, just below the level of the square, Flat left side"
832,"Looks like a dog begging for food, facing left with a square balancing on the corner and the triangle right below it on the right (looks like ears), Arms are a triangle facing left at the bottom left of the image, Just one triangle on bottom left","a dog begging for food, facing left, a square balancing on the corner, the triangle right below it on the right, Arms are a triangle facing left at the bottom left of the image, Just one triangle on bottom left","[-Looks like-]a dog begging for food, facing [-left with-] {+left,+} a square balancing on the [-corner and-] {+corner,+} the triangle right below it on the [-right (looks like ears),-] {+right,+} Arms are a triangle facing left at the bottom left of the image, Just one triangle on bottom left"
833,Like the offer one but facing left and looks like clothes hanging from arms,"facing left, clothes hanging from arms","[-Like the offer one but-]facing [-left and-] {+left,+} looks like [-clothes-] {+clothe's+} hanging from arms"
834,Italian talking with their hand up,Italian talking with their hand up,Italian talking with their hand up
835,Figure skater,Figure skater,Figure skater
836,"Dog balancing square on nose, facing left, Paws are a triangle on the left side of the image and is facing up, Two triangles on the right side of the image (ears) and back)","Dog balancing square on nose, facing left, Paws are a triangle on the left side of the image and is facing up, Two triangles on the right side of the image (ears) and back","Dog balancing square on nose, facing left, Paws are a triangle on the left side of the image and is facing up, Two triangles on the right side of the image (ears) and [-back)-] {+back+}"
837,"Person sitting down with legs out, facing left, with square balancing on the left of the head and triangle balancing on the right of the head, Triangle on bottom right looks like hands out, behind them","Person sitting down with legs out, facing left, square balancing on the left of the head, triangle balancing on the right of the head, Triangle on bottom right looks like hands out, behind them","Person sitting down with legs out, facing left, [-with-] square balancing on the left of the [-head and-] {+head,+} triangle balancing on the right of the head, Triangle on bottom right looks like hands out, behind them"
838,Bunny ears,Bunny ears,Bunny ears
839,"Offer with arms facing straight and to the right, knees bent","arms facing straight and to the right, knees bent","[-Offer with-]arms facing straight and to the right, knees bent"
840,"standing offering arms to the right flat down the left, no, the arms come right out of the top of the body","standing offering arms to the right flat down the left, the arms come right out of the top of the body","standing offering arms to the right flat down the left, [-no,-] the arms come right out of the top of the body"
841,kneeling offering facing right,kneeling offering facing right,kneeling offering facing right
842,bird man dancing,bird man dancing,bird man dancing
843,rabbit,rabbit,rabbit
844,fetal position,fetal position,fetal position
845,dog balancing square on nose (that's how it was described last time),dog balancing square on nose,dog balancing square on nose [-(that's how it was described last time)-]
846,trapezoid at the bottom leaning right,trapezoid at the bottom leaning right,trapezoid at the bottom leaning right
847,figure skater,figure skater,figure skater
848,"standing offering to the left draping clothes on ar, aarm","standing offering to the left, draping clothes on arm","standing offering to the [-left-] {+left,+} draping [-clothes-] {+clothe's+} on [-ar, aarm-] {+arm+}"
849,italian,italian,[-italian-]{+There is no description of the image provided in the text.+}
850,"square balanced on two triangles, looks like a begging dog","square balanced on two triangles,  a begging dog","square balanced on two triangles, looks like a begging dog"
851,standing no arms,standing no arms,standing no arms
852,rabbit,rabbit,rabbit
853,"facing to the right, offering, knees bent, feet up, NA, arms out, two triangles","facing to the right, offering, knees bent, feet up, arms out, two triangles","facing to the right, offering, knees bent, feet up, NA, arms out, two triangles"
854,italian,italian,[-italian-]{+There is no description of the image provided in the text.+}
855,fetal position,fetal position,fetal position
856,"standing to the right, arms out, flat left side, yes, on the very top","standing to the right, arms out, flat left side, on the very top","standing to the right, arms out, flat left side, [-yes,-] on the very top"
857,square balancing on two triangles,square balancing on two triangles,square balancing on two triangles
858,draped clothing,draped clothing,draped clothing
859,bird man,bird man,bird man
860,figure skater,figure skater,figure skater
861,no arms!,no arms!,no arms!
862,"offering to the right, bent knees this time","offering to the right, bent knees this time","offering to the right, bent knees this time"
863,"trapezoid on the bottom, with two triangles on the right","trapezoid on the bottom, two triangles on the right","trapezoid on the bottom, [-with-] two triangles on the right"
864,"triangle is pointing out like a traffic cone on your chest, facing right, looks like the person is squatting, knees bent","triangle is pointing out like a traffic cone on your chest, facing right, the person is squatting, knees bent","triangle is pointing out like a traffic cone on your [-chest,-] {+che'st,+} facing right, looks like the person is squatting, knees bent"
865,"person has arms raised up in the air, like the ""y"" in the ymca song","person has arms raised up in the air, like the ""y"" in the ymca song","person has arms raised up in the air, like the ""y"" in the ymca song"
866,"has two triangles sticking out from chest, pointing left","two triangles sticking out from chest, pointing left","[-has-]two triangles sticking out from [-chest,-] {+che'st,+} pointing left"
867,"has a hat that has two triangles square head body facing right, looks like it's sitting down","has a hat that has two triangles, square head, body facing right, its sitting down","has a hat that has two [-triangles-] {+triangles,+} square [-head-] {+head,+} body facing right, [-looks-] {+""looks+} like [-it's-] {+its+} sitting [-down-] {+down""+}"
868,"has a squarish body with a square head the left side of the body looks like a square, the pic that most looks like a complete square rectangle body, cut out on the right side","a squarish body with a square head, the left side of the body looks like a square, a complete square rectangle body, cut out on the right side","[-has-]a squarish body with a square [-head-] {+head,+} the left side of the body looks like a square, the pic that most looks like a complete square rectangle body, cut out on the right side"
869,"has a trapezoid as a head two feet with one in the air, facing left, square sticking out of neck","a trapezoid as a head, two feet with one in the air, facing left, square sticking out of neck","[-has-]a trapezoid as a [-head-] {+head,+} two feet with one in the air, facing left, square sticking out of neck"
870,"looks like a priest wearing a robe facing left arms stretched out holding something, standing straight up","a priest wearing a robe facing left, arms stretched out holding something, standing straight up","[-looks like-]a priest wearing a robe facing [-left-] {+left,+} arms stretched out holding something, standing straight up"
871,"the top is a square and right underneath are two triangle shapes, looks more like a blob and less like a person","the top is a square, right underneath are two triangle shapes, looks more like a blob and less like a person","the top is a [-square and-] {+square,+} right underneath are two triangle shapes, looks more like a blob and less like a person"
872,"ok the top is a square and the bottom is one big shape connected to it kind of potato shaped, ok kind of looks like a baby and the feet would be pointing right, like a swaddled baby","the top is a square, the bottom is one big shape connected to it kind of potato shaped,  a baby, the feet would be pointing right, a swaddled baby","[-ok-]the top is a [-square and-] {+square,+} the bottom is one big shape connected to it kind of potato shaped, [-ok-] kind of looks like a [-baby and-] {+baby,+} the feet would be pointing right, like a swaddled baby"
873,"ok the bottom is a trapezoid connected to a square shape it's got two triangles sticking out and square on top for the head, the bottom points left, the triangles stick out on the right, no not that one, this one kind of looks like someone is sitting laying back, with the ""feet"" pointed to the left, and the arms stuck backwards","the bottom is a trapezoid connected to a square shape, it's got two triangles sticking out, square on top for the head, the bottom points left, the triangles stick out on the right, someone is sitting laying back, with the ""feet"" pointed to the left, and the arms stuck backwards","[-ok-]the bottom is a trapezoid connected to a square [-shape it's-] {+shape, it\s+} got two triangles sticking [-out and-] {+out,+} square on top for the head, the bottom points left, the triangles stick out on the right, [-no not that one,-] this one kind of looks like someone is sitting laying back, with the ""feet"" pointed to the left, and the arms stuck backwards"
874,"ok looks like someone sitting with knees bent facing left, the legs feet are really obvious on this one","someone sitting with knees bent facing left, the legs feet are really obvious on this one","[-ok looks like-]someone sitting with knees bent facing left, the legs feet are really obvious on this one"
875,"cone sticking out from chest facing right, triangle point sticking up in the back, it's the one that looks like its kneeling rather than squatting, facing right","cone sticking out from chest facing right, triangle point sticking up in the back, ""its the one that looks like its kneeling rather than squatting"", facing right","cone sticking out from [-chest-] {+che'st+} facing right, triangle point sticking up in the back, [-it's-] {+""its+} the one that looks like its kneeling rather than [-squatting,-] {+squatting"",+} facing right"
